Draw Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
21st December 1996,13,16,20,42,44,45,0,$41.6 Million,R,,,,
18th December 1996,3,21,28,36,45,1,0,$35.3 Million,R,,,,
14th December 1996,10,19,22,38,44,30,0,$30.3 Million,R,,,,
11th December 1996,4,8,15,22,36,43,0,$25 Million,R,,,,
7th December 1996,6,20,24,31,37,34,0,$21 Million,R,,,,
4th December 1996,1,10,17,20,42,29,0,$16.5 Million,R,,,,
30th November 1996,13,28,30,38,41,22,0,$13 Million,R,,,,
27th November 1996,1,31,37,38,39,3,0,$9.4 Million,R,,,,
23rd November 1996,6,8,17,25,41,44,0,$6.3 Million,R,,,,
20th November 1996,11,12,15,18,35,19,0,$5 Million,R,,,,
16th November 1996,11,27,35,39,43,21,0,$22 Million,1,AZ,,,
13th November 1996,17,19,25,27,30,1,0,$17.3 Million,R,,,,
9th November 1996,1,3,5,6,35,38,0,$13.7 Million,R,,,,
6th November 1996,11,18,30,35,42,1,0,$9.8 Million,R,,,,
2nd November 1996,17,32,37,38,44,28,0,$6.6 Million,R,,,,
30th October 1996,10,13,19,37,43,45,0,$5 Million,R,,,,
26th October 1996,4,17,19,25,37,19,0,$56.5 Million,2,IN,KY,,
23rd October 1996,9,24,27,31,34,18,0,$47 Million,R,,,,
19th October 1996,8,20,30,31,42,9,0,$40.2 Million,R,,,,
16th October 1996,20,31,33,40,43,10,0,$34 Million,R,,,,
12th October 1996,1,22,25,27,45,42,0,$29.2 Million,R,,,,
9th October 1996,2,14,16,21,33,27,0,$24.2 Million,R,,,,
5th October 1996,2,13,15,33,38,44,0,$20.2 Million,R,,,,
2nd October 1996,13,14,16,19,37,25,0,$16 Million,R,,,,
28th September 1996,2,13,14,35,36,39,0,$12.7 Million,R,,,,
25th September 1996,7,10,25,33,38,43,0,$9.2 Million,R,,,,
21st September 1996,2,17,23,30,39,2,0,$6.5 Million,R,,,,
18th September 1996,13,21,22,23,38,27,0,$5 Million,R,,,,
14th September 1996,7,15,26,34,44,45,0,$30.3 Million,2,IN,KY,,
11th September 1996,8,9,12,18,33,11,0,$25.2 Million,R,,,,
7th September 1996,13,14,28,35,38,9,0,$21 Million,R,,,,
4th September 1996,19,26,29,36,45,11,0,$16.5 Million,R,,,,
31st August 1996,20,21,24,42,44,18,0,$13.2 Million,R,,,,
28th August 1996,10,24,29,38,45,1,0,$8.4 Million,R,,,,
24th August 1996,2,13,15,35,40,10,0,$5 Million,R,,,,
21st August 1996,10,18,19,31,45,30,0,$22.7 Million,1,IN,,,
17th August 1996,17,36,41,42,44,35,0,$17.8 Million,R,,,,
14th August 1996,1,19,26,37,41,27,0,$12.9 Million,R,,,,
10th August 1996,2,13,14,19,42,5,0,$9.1 Million,R,,,,
7th August 1996,8,11,15,31,42,40,0,$5 Million,R,,,,
3rd August 1996,8,18,21,24,37,29,0,$22.9 Million,1,KY,,,
31st July 1996,6,13,21,39,43,38,0,$17.7 Million,R,,,,
27th July 1996,3,9,10,13,31,12,0,$13.4 Million,R,,,,
24th July 1996,15,25,28,34,44,26,0,$8.7 Million,R,,,,
20th July 1996,7,10,11,17,38,13,0,$5 Million,R,,,,
17th July 1996,4,15,21,24,36,35,0,$23.5 Million,1,LA,,,
13th July 1996,6,15,23,29,34,16,0,$18.6 Million,R,,,,
10th July 1996,2,11,15,30,44,27,0,$13.5 Million,R,,,,
6th July 1996,3,4,24,31,38,10,0,$9.4 Million,R,,,,
3rd July 1996,4,14,27,29,38,12,0,$5 Million,R,,,,
29th June 1996,22,28,37,41,45,43,0,$53.1 Million,2,KS,MO,,
26th June 1996,8,23,36,40,41,26,0,$43.5 Million,R,,,,
22nd June 1996,6,23,33,34,45,17,0,$36 Million,R,,,,
19th June 1996,9,12,38,40,44,10,0,$29 Million,R,,,,
15th June 1996,5,14,20,22,36,8,0,$23.5 Million,R,,,,
12th June 1996,7,15,23,38,43,31,0,$17.7 Million,R,,,,
8th June 1996,7,8,21,28,34,14,0,$13.4 Million,R,,,,
5th June 1996,1,3,19,35,37,1,0,$8.7 Million,R,,,,
1st June 1996,5,12,17,22,36,4,0,$5 Million,R,,,,
29th May 1996,14,20,29,40,44,11,0,$8.5 Million,1,MN,,,
25th May 1996,9,21,39,44,45,37,0,$5 Million,R,,,,
22nd May 1996,15,26,33,35,39,27,0,$5 Million,1,MO,,,
18th May 1996,2,7,8,28,33,35,0,$9.5 Million,1,MN,,,
15th May 1996,11,16,17,32,37,16,0,$5 Million,R,,,,
11th May 1996,17,23,26,27,42,42,0,$5 Million,1,GA,,,
8th May 1996,10,16,24,28,41,8,0,$19.3 Million,1,DC,,,
4th May 1996,4,9,24,31,42,39,0,$14.5 Million,R,,,,
1st May 1996,2,14,27,30,43,9,0,$9 Million,R,,,,
27th April 1996,5,7,23,34,45,18,0,$5 Million,R,,,,
24th April 1996,5,18,20,24,43,22,0,$5 Million,2,IN,NE,,
20th April 1996,2,8,10,29,32,40,0,$33.8 Million,2,DC,RI,,
17th April 1996,2,20,26,31,36,2,0,$26.6 Million,R,,,,
13th April 1996,12,16,22,26,39,29,0,$21 Million,R,,,,
10th April 1996,2,10,23,31,37,40,0,$14.7 Million,R,,,,
6th April 1996,6,10,15,38,41,24,0,$10.2 Million,R,,,,
3rd April 1996,15,16,32,38,42,9,0,$5 Million,R,,,,
30th March 1996,10,13,32,35,38,37,0,$51.3 Million,1,NH,,,
27th March 1996,1,6,17,30,39,44,0,$41 Million,R,,,,
23rd March 1996,12,17,22,37,42,30,0,$33.5 Million,R,,,,
20th March 1996,11,14,17,26,42,35,0,$26.4 Million,R,,,,
16th March 1996,10,25,36,39,40,10,0,$20.8 Million,R,,,,
13th March 1996,15,18,23,32,43,6,0,$14.6 Million,R,,,,
9th March 1996,1,19,31,35,44,3,0,$10.1 Million,R,,,,
6th March 1996,1,5,7,13,40,42,0,$5 Million,R,,,,
2nd March 1996,2,3,24,38,41,7,0,$5.1 Million,1,WI,,,
28th February 1996,22,30,34,44,45,37,0,$21.4 Million,1,LA,,,
24th February 1996,2,27,29,33,40,42,0,$15.7 Million,R,,,,
21st February 1996,5,9,21,35,38,16,0,$10 Million,R,,,,
17th February 1996,1,7,15,35,44,44,0,$5 Million,R,,,,
14th February 1996,4,8,15,16,25,35,0,$33.8 Million,1,LA,,,
10th February 1996,15,19,20,33,35,15,0,$27.7 Million,R,,,,
7th February 1996,6,32,38,39,40,8,0,$20.5 Million,R,,,,
3rd February 1996,10,16,18,39,45,38,0,$14.9 Million,R,,,,
31st January 1996,1,4,16,38,45,35,0,$9.3 Million,R,,,,
27th January 1996,8,10,22,27,38,20,0,$5 Million,R,,,,
24th January 1996,1,24,30,36,42,7,0,$89.3 Million,1,KY,,,
20th January 1996,12,21,25,32,34,4,0,$67.9 Million,R,,,,
17th January 1996,1,11,14,17,33,34,0,$54.9 Million,R,,,,
13th January 1996,8,13,32,33,39,4,0,$45.5 Million,R,,,,
10th January 1996,12,15,18,26,35,43,0,$37 Million,R,,,,
6th January 1996,19,24,33,36,44,2,0,$30.8 Million,R,,,,
3rd January 1996,8,13,23,31,38,14,0,$24.2 Million,R,,,,
31st December 1997,4,5,6,14,27,6,0,$17 Million,R,,,,
27th December 1997,9,14,15,36,48,17,0,$14 Million,R,,,,
24th December 1997,3,16,28,34,35,14,0,$12 Million,R,,,,
20th December 1997,10,11,12,17,23,7,0,$10 Million,R,,,,
17th December 1997,3,5,13,18,45,20,0,$66.4 Million,1,NH,,,
13th December 1997,5,35,41,44,46,27,0,$58 Million,R,,,,
10th December 1997,4,18,21,28,41,3,0,$47.8 Million,R,,,,
6th December 1997,8,15,26,28,43,36,0,$41 Million,R,,,,
3rd December 1997,9,14,18,42,47,32,0,$35.2 Million,R,,,,
29th November 1997,2,11,13,27,31,23,0,$30.4 Million,R,,,,
26th November 1997,15,23,34,40,46,35,0,$25.8 Million,R,,,,
22nd November 1997,3,7,14,22,31,2,0,$22 Million,R,,,,
19th November 1997,3,10,19,21,48,22,0,$18 Million,R,,,,
15th November 1997,7,21,26,32,45,8,0,$16 Million,R,,,,
12th November 1997,13,14,16,29,41,1,0,$14 Million,R,,,,
8th November 1997,7,17,21,40,49,37,0,$12 Million,R,,,,
5th November 1997,2,19,24,28,35,26,0,$10 Million,R,,,,
1st November 1997,22,25,28,33,37,20,0,$8 Million,1,MO,,,
29th October 1997,6,11,13,26,32,37,0,$5 Million,R,,,,
25th October 1997,15,23,24,28,35,30,0,$36.3 Million,1,IN,,,
22nd October 1997,5,9,23,40,43,24,0,$31.4 Million,R,,,,
18th October 1997,11,14,16,19,21,6,0,$27 Million,R,,,,
15th October 1997,7,9,19,21,34,8,0,$22.5 Million,R,,,,
11th October 1997,2,20,34,40,42,3,0,$19 Million,R,,,,
8th October 1997,10,14,22,33,35,11,0,$16 Million,R,,,,
4th October 1997,11,24,25,31,43,28,0,$15 Million,R,,,,
1st October 1997,18,21,25,36,44,9,0,$11 Million,R,,,,
27th September 1997,6,14,16,31,41,6,0,$8 Million,R,,,,
24th September 1997,9,12,25,28,39,20,0,$5 Million,R,,,,
20th September 1997,15,16,22,28,43,33,0,$19.2 Million,1,IN,,,
17th September 1997,22,26,28,31,34,18,0,$15.6 Million,R,,,,
13th September 1997,6,8,19,32,45,22,0,$15 Million,R,,,,
10th September 1997,1,2,16,21,42,3,0,$11 Million,R,,,,
6th September 1997,7,34,35,39,45,29,0,$8 Million,R,,,,
3rd September 1997,2,5,10,22,39,42,0,$5 Million,R,,,,
30th August 1997,3,11,26,29,36,24,0,$24.8 Million,1,LA,,,
27th August 1997,1,8,36,37,38,19,0,$20.6 Million,R,,,,
23rd August 1997,12,14,34,35,44,9,0,$16.9 Million,R,,,,
20th August 1997,1,3,12,15,25,23,0,$15 Million,R,,,,
16th August 1997,3,12,25,33,34,24,0,$11 Million,R,,,,
13th August 1997,13,17,31,36,41,19,0,$8 Million,R,,,,
9th August 1997,1,7,13,17,27,12,0,$5 Million,R,,,,
6th August 1997,3,6,12,25,45,10,0,$5 Million,1,MN,,,
2nd August 1997,2,21,28,35,36,10,0,$45.6 Million,1,IN,,,
30th July 1997,6,16,21,30,34,11,0,$38.5 Million,R,,,,
26th July 1997,6,10,18,23,26,42,0,$33 Million,R,,,,
23rd July 1997,26,36,40,42,45,12,0,$28.4 Million,R,,,,
19th July 1997,4,11,26,33,41,1,0,$24.2 Million,R,,,,
16th July 1997,13,17,18,39,44,24,0,$19.8 Million,R,,,,
12th July 1997,3,5,11,35,37,14,0,$16 Million,R,,,,
9th July 1997,4,32,33,36,39,22,0,$15 Million,R,,,,
5th July 1997,22,26,28,43,44,29,0,$11 Million,R,,,,
2nd July 1997,9,18,37,44,45,38,0,$8 Million,R,,,,
28th June 1997,1,21,31,34,43,42,0,$5 Million,R,,,,
25th June 1997,20,29,34,35,39,16,0,$8 Million,1,CT,,,
21st June 1997,6,11,20,29,45,43,0,$5 Million,R,,,,
18th June 1997,16,23,24,28,29,24,0,$57.5 Million,1,KY,,,
14th June 1997,9,17,21,24,27,16,0,$48.4 Million,R,,,,
11th June 1997,7,10,23,33,45,12,0,$41 Million,R,,,,
7th June 1997,6,8,18,34,39,22,0,$35.2 Million,R,,,,
4th June 1997,4,12,18,20,38,40,0,$29.7 Million,R,,,,
31st May 1997,7,11,16,17,39,17,0,$25 Million,R,,,,
28th May 1997,6,10,30,34,39,19,0,$20.7 Million,R,,,,
24th May 1997,5,21,33,35,45,13,0,$17 Million,R,,,,
21st May 1997,8,20,32,37,44,40,0,$15 Million,R,,,,
17th May 1997,14,24,25,29,31,36,0,$11 Million,R,,,,
14th May 1997,8,28,36,42,44,18,0,$8 Million,R,,,,
10th May 1997,5,9,14,16,24,35,0,$5 Million,R,,,,
7th May 1997,8,10,12,27,35,4,0,$36.3 Million,1,CT,,,
3rd May 1997,8,21,22,29,38,29,0,$31.3 Million,R,,,,
30th April 1997,17,26,31,33,40,32,0,$26 Million,R,,,,
26th April 1997,5,18,29,31,42,43,0,$21.6 Million,R,,,,
23rd April 1997,4,16,21,31,39,13,0,$17.2 Million,R,,,,
19th April 1997,5,13,19,28,31,31,0,$15 Million,R,,,,
16th April 1997,15,16,24,39,45,37,0,$11 Million,R,,,,
12th April 1997,9,10,21,28,29,6,0,$8 Million,R,,,,
9th April 1997,17,36,42,43,45,16,0,$5 Million,R,,,,
5th April 1997,7,8,10,11,21,19,0,$11 Million,1,MT,,,
2nd April 1997,4,6,13,33,40,17,0,$8 Million,R,,,,
29th March 1997,3,23,29,35,42,25,0,$5 Million,R,,,,
26th March 1997,4,15,19,26,32,33,0,$52.8 Million,1,DE,,,
22nd March 1997,5,18,19,21,29,19,0,$44.4 Million,R,,,,
19th March 1997,3,6,7,37,42,19,0,$36.8 Million,R,,,,
15th March 1997,4,7,20,25,31,42,0,$31.5 Million,R,,,,
12th March 1997,1,17,22,30,37,11,0,$25.7 Million,R,,,,
8th March 1997,9,12,21,31,36,22,0,$21.5 Million,R,,,,
5th March 1997,21,29,31,32,43,28,0,$17 Million,R,,,,
1st March 1997,7,10,22,34,41,12,0,$15 Million,R,,,,
26th February 1997,4,8,9,11,44,6,0,$11 Million,R,,,,
22nd February 1997,17,35,37,38,40,37,0,$8 Million,R,,,,
19th February 1997,7,8,21,23,38,28,0,$5 Million,R,,,,
15th February 1997,13,14,26,38,43,7,0,$15 Million,1,DC,,,
12th February 1997,12,16,28,29,36,37,0,$11 Million,R,,,,
8th February 1997,22,23,24,29,35,29,0,$8 Million,R,,,,
5th February 1997,2,8,18,37,45,42,0,$5 Million,R,,,,
1st February 1997,3,16,38,39,40,8,0,$30.2 Million,1,WI,,,
29th January 1997,1,4,26,28,37,9,0,$24.8 Million,R,,,,
25th January 1997,2,6,38,42,45,27,0,$20.8 Million,R,,,,
22nd January 1997,3,11,12,29,41,35,0,$16.4 Million,R,,,,
18th January 1997,19,27,30,35,40,34,0,$13 Million,R,,,,
15th January 1997,15,27,34,39,44,18,0,$9.2 Million,R,,,,
11th January 1997,2,18,26,29,42,7,0,$6.2 Million,R,,,,
8th January 1997,7,14,22,37,45,18,0,$5 Million,R,,,,
4th January 1997,1,12,16,25,29,43,0,$10.3 Million,1,CT,,,
1st January 1997,6,13,17,19,42,44,0,$6.4 Million,R,,,,
30th December 1998,10,20,34,38,46,3,0,$34.9 Million,R,,,,
26th December 1998,7,17,27,29,41,33,0,$30.4 Million,R,,,,
23rd December 1998,29,31,39,45,46,33,0,$26.3 Million,R,,,,
19th December 1998,3,5,15,17,45,6,0,$22.2 Million,R,,,,
16th December 1998,3,8,19,27,32,38,0,$18 Million,R,,,,
12th December 1998,12,16,26,29,40,32,0,$16 Million,R,,,,
9th December 1998,12,33,40,43,48,16,0,$14 Million,R,,,,
5th December 1998,9,19,20,27,31,39,0,$12 Million,R,,,,
2nd December 1998,4,22,29,36,45,30,0,$10 Million,R,,,,
28th November 1998,2,4,6,11,43,9,0,$32.6 Million,1,NE,,,
25th November 1998,6,10,13,33,48,9,0,$27.9 Million,R,,,,
21st November 1998,1,14,15,21,35,10,0,$23.8 Million,R,,,,
18th November 1998,21,25,33,39,46,18,0,$19.4 Million,R,,,,
14th November 1998,3,10,16,35,41,38,0,$16 Million,R,,,,
11th November 1998,10,14,25,36,48,2,0,$14 Million,R,,,,
7th November 1998,5,10,13,30,33,28,0,$12 Million,R,,,,
4th November 1998,2,8,17,30,36,22,0,$10 Million,R,,,,
31st October 1998,17,33,34,37,42,8,0,$45.5 Million,2,RI,WI,,
28th October 1998,8,9,24,35,44,42,0,$40 Million,R,,,,
24th October 1998,10,12,17,25,40,20,0,$34.8 Million,R,,,,
21st October 1998,22,24,27,39,44,25,0,$29.2 Million,R,,,,
17th October 1998,28,32,44,47,48,27,0,$24.9 Million,R,,,,
14th October 1998,14,15,18,26,32,6,0,$19.9 Million,R,,,,
10th October 1998,1,8,19,28,45,25,0,$16 Million,R,,,,
7th October 1998,6,8,9,15,26,7,0,$14 Million,R,,,,
3rd October 1998,5,14,22,25,32,4,0,$12 Million,R,,,,
30th September 1998,2,3,8,12,36,24,0,$10 Million,R,,,,
26th September 1998,2,3,5,24,25,8,0,$49.3 Million,1,MN,,,
23rd September 1998,1,5,21,22,42,18,0,$42.9 Million,R,,,,
19th September 1998,1,19,35,37,41,11,0,$37.4 Million,R,,,,
16th September 1998,6,24,35,40,42,2,0,$31.8 Million,R,,,,
12th September 1998,16,19,28,33,35,16,0,$27 Million,R,,,,
9th September 1998,4,12,19,42,46,9,0,$22.4 Million,R,,,,
5th September 1998,8,10,16,26,49,40,0,$18 Million,R,,,,
2nd September 1998,21,28,29,40,44,8,0,$14 Million,R,,,,
29th August 1998,13,14,18,29,31,23,0,$12 Million,R,,,,
26th August 1998,6,23,32,42,46,8,0,$10 Million,R,,,,
22nd August 1998,7,11,21,22,49,19,0,$43.1 Million,1,MO,,,
19th August 1998,8,15,23,43,46,29,0,$36.2 Million,R,,,,
15th August 1998,12,27,30,37,49,20,0,$30 Million,R,,,,
12th August 1998,2,10,33,42,45,2,0,$23.5 Million,R,,,,
8th August 1998,5,9,33,42,45,28,0,$17.9 Million,R,,,,
5th August 1998,3,12,19,35,42,21,0,$12.3 Million,R,,,,
1st August 1998,1,4,20,25,44,5,0,$10 Million,R,,,,
29th July 1998,8,39,43,45,49,13,0,$295 Million,1,IN,,,
25th July 1998,3,14,17,21,23,16,0,$183 Million,R,,,,
22nd July 1998,1,22,23,30,49,33,0,$126 Million,R,,,,
18th July 1998,8,10,14,33,40,31,0,$97.6 Million,R,,,,
15th July 1998,11,16,21,23,36,37,0,$78.3 Million,R,,,,
11th July 1998,1,6,10,12,38,17,0,$67.5 Million,R,,,,
8th July 1998,5,16,19,29,34,24,0,$59.7 Million,R,,,,
4th July 1998,15,25,30,38,39,42,0,$53 Million,R,,,,
1st July 1998,3,17,29,35,47,34,0,$47 Million,R,,,,
27th June 1998,7,10,30,31,36,37,0,$41.7 Million,R,,,,
24th June 1998,13,16,18,27,30,23,0,$36.8 Million,R,,,,
20th June 1998,9,26,27,31,49,4,0,$32.3 Million,R,,,,
17th June 1998,7,14,35,36,37,10,0,$27.1 Million,R,,,,
13th June 1998,3,6,8,21,23,11,0,$24 Million,R,,,,
10th June 1998,4,12,19,36,38,6,0,$19 Million,R,,,,
6th June 1998,16,24,26,28,42,24,0,$16 Million,R,,,,
3rd June 1998,22,25,31,35,41,38,0,$14 Million,R,,,,
30th May 1998,3,14,24,29,45,24,0,$12 Million,R,,,,
27th May 1998,2,15,27,33,46,27,0,$10 Million,R,,,,
23rd May 1998,1,15,16,35,46,35,0,$10 Million,1,MO,,,
20th May 1998,4,9,30,34,48,8,0,$195 Million,1,WI,,,
16th May 1998,1,22,23,28,41,18,0,$119 Million,R,,,,
13th May 1998,2,13,18,30,36,26,0,$85.6 Million,R,,,,
9th May 1998,8,26,29,34,49,28,0,$69.4 Million,R,,,,
6th May 1998,11,20,44,45,47,5,0,$58.4 Million,R,,,,
2nd May 1998,3,14,19,37,49,4,0,$50.1 Million,R,,,,
29th April 1998,8,25,30,46,47,31,0,$43.8 Million,R,,,,
25th April 1998,5,7,20,35,38,19,0,$38.5 Million,R,,,,
22nd April 1998,4,13,29,31,49,4,0,$33.3 Million,R,,,,
18th April 1998,19,22,24,30,45,21,0,$29 Million,R,,,,
15th April 1998,8,24,25,39,41,21,0,$24.3 Million,R,,,,
11th April 1998,5,15,36,48,49,11,0,$20.7 Million,R,,,,
8th April 1998,3,10,24,30,49,35,0,$18 Million,R,,,,
4th April 1998,3,8,23,43,46,13,0,$16 Million,R,,,,
1st April 1998,11,12,33,34,47,39,0,$14 Million,R,,,,
28th March 1998,27,30,33,38,44,15,0,$12 Million,R,,,,
25th March 1998,5,23,35,42,44,29,0,$10 Million,R,,,,
21st March 1998,4,34,35,38,47,16,0,$27.5 Million,1,MN,,,
18th March 1998,2,4,33,39,41,26,0,$23 Million,R,,,,
14th March 1998,15,34,35,42,47,15,0,$19 Million,R,,,,
11th March 1998,2,5,17,24,36,20,0,$16 Million,R,,,,
7th March 1998,21,30,32,36,42,33,0,$14 Million,R,,,,
4th March 1998,3,19,30,33,39,9,0,$12 Million,R,,,,
28th February 1998,4,26,41,45,49,6,0,$10 Million,R,,,,
25th February 1998,2,20,30,43,46,19,0,$55.4 Million,1,MO,,,
21st February 1998,9,22,29,39,47,25,0,$47.8 Million,R,,,,
18th February 1998,1,21,28,29,33,15,0,$41 Million,R,,,,
14th February 1998,5,7,23,39,41,6,0,$35 Million,R,,,,
11th February 1998,25,33,34,35,37,35,0,$30 Million,R,,,,
7th February 1998,5,12,15,27,40,14,0,$26 Million,R,,,,
4th February 1998,8,12,21,25,30,20,0,$21.5 Million,R,,,,
31st January 1998,7,11,13,36,48,18,0,$18 Million,R,,,,
28th January 1998,15,23,31,36,48,12,0,$16 Million,R,,,,
24th January 1998,7,15,23,28,36,10,0,$14 Million,R,,,,
21st January 1998,1,23,26,31,32,33,0,$12 Million,R,,,,
17th January 1998,9,28,29,38,49,6,0,$10 Million,R,,,,
14th January 1998,6,9,16,28,38,13,0,$10 Million,1,IN,,,
10th January 1998,7,9,17,20,44,25,0,$10 Million,1,DC,,,
7th January 1998,3,4,18,30,37,23,0,$25.2 Million,1,NH,,,
3rd January 1998,4,7,9,27,32,6,0,$20 Million,R,,,,
29th December 1999,3,11,14,16,43,10,0,$18.5 Million,R,,,,
25th December 1999,6,19,29,39,44,28,0,$16 Million,R,,,,
22nd December 1999,11,13,23,42,43,18,0,$14 Million,R,,,,
18th December 1999,2,3,15,25,43,25,0,$12 Million,R,,,,
15th December 1999,19,32,33,35,47,26,0,$10 Million,R,,,,
11th December 1999,6,10,31,47,48,29,0,$47.4 Million,1,DC,,,
8th December 1999,13,34,40,44,47,24,0,$41.8 Million,R,,,,
4th December 1999,5,22,25,36,38,37,0,$36.7 Million,R,,,,
1st December 1999,3,14,20,32,47,2,0,$31.6 Million,R,,,,
27th November 1999,3,16,24,28,38,28,0,$27.2 Million,R,,,,
24th November 1999,2,4,15,37,43,40,0,$23 Million,R,,,,
20th November 1999,5,6,18,42,44,3,0,$19 Million,R,,,,
17th November 1999,11,20,27,43,48,12,0,$16 Million,R,,,,
13th November 1999,13,16,26,32,34,24,0,$14 Million,R,,,,
10th November 1999,13,19,31,40,43,36,0,$12 Million,R,,,,
6th November 1999,5,8,12,25,40,28,0,$10 Million,R,,,,
3rd November 1999,1,3,7,8,26,7,0,$10 Million,2,KY,NE,,
30th October 1999,10,26,33,37,41,21,0,$61.1 Million,1,MN,,,
27th October 1999,17,20,24,31,39,21,0,$53.5 Million,R,,,,
23rd October 1999,12,15,27,32,37,11,0,$46.8 Million,R,,,,
20th October 1999,2,16,19,20,29,13,0,$40 Million,R,,,,
16th October 1999,5,12,18,22,40,21,0,$35.1 Million,R,,,,
13th October 1999,15,23,38,43,44,38,0,$29 Million,R,,,,
9th October 1999,8,20,27,39,43,1,0,$25 Million,R,,,,
6th October 1999,6,7,15,38,42,42,0,$19.7 Million,R,,,,
2nd October 1999,12,15,25,35,48,30,0,$16 Million,R,,,,
29th September 1999,11,22,29,41,46,42,0,$14 Million,R,,,,
25th September 1999,15,32,33,36,41,7,0,$12 Million,R,,,,
22nd September 1999,8,33,35,38,47,8,0,$10 Million,R,,,,
18th September 1999,2,8,26,34,46,30,0,$41.4 Million,1,IN,,,
15th September 1999,1,12,37,42,48,31,0,$35.6 Million,R,,,,
11th September 1999,4,32,33,37,42,25,0,$30.7 Million,R,,,,
8th September 1999,8,15,22,39,43,22,0,$25.5 Million,R,,,,
4th September 1999,14,22,23,26,34,29,0,$21.3 Million,R,,,,
1st September 1999,9,32,36,37,39,14,0,$16.2 Million,R,,,,
28th August 1999,14,18,25,38,39,7,0,$14 Million,R,,,,
25th August 1999,11,13,21,34,45,30,0,$12 Million,R,,,,
21st August 1999,2,17,28,42,45,20,0,$10 Million,R,,,,
18th August 1999,5,8,9,26,41,19,0,$31.8 Million,1,LA,,,
14th August 1999,1,5,6,39,45,14,0,$26.8 Million,R,,,,
11th August 1999,5,7,10,12,43,7,0,$21.6 Million,R,,,,
7th August 1999,1,42,44,45,49,1,0,$17.3 Million,R,,,,
4th August 1999,4,18,24,33,35,34,0,$14 Million,R,,,,
31st July 1999,18,26,43,45,46,29,0,$12 Million,R,,,,
28th July 1999,22,23,25,31,32,25,0,$10 Million,R,,,,
24th July 1999,4,23,33,45,47,33,0,$33.8 Million,1,OR,,,
21st July 1999,4,13,26,29,31,3,0,$27.9 Million,R,,,,
17th July 1999,30,36,37,40,48,28,0,$23.2 Million,R,,,,
14th July 1999,1,6,25,29,32,9,0,$17.9 Million,R,,,,
10th July 1999,7,17,35,37,44,30,0,$14 Million,R,,,,
7th July 1999,3,6,17,37,41,8,0,$12 Million,R,,,,
3rd July 1999,1,7,8,21,37,2,0,$10 Million,R,,,,
30th June 1999,5,10,12,20,40,3,0,$151 Million,1,MN,,,
26th June 1999,8,15,22,38,47,26,0,$112 Million,R,,,,
23rd June 1999,12,15,17,23,49,7,0,$88 Million,R,,,,
19th June 1999,2,23,27,38,46,26,0,$76 Million,R,,,,
16th June 1999,2,4,8,14,38,1,0,$66.6 Million,R,,,,
12th June 1999,17,26,28,35,45,20,0,$58.5 Million,R,,,,
9th June 1999,7,32,35,38,48,17,0,$50.7 Million,R,,,,
5th June 1999,2,8,16,37,49,11,0,$44.7 Million,R,,,,
2nd June 1999,4,20,24,46,48,32,0,$38.5 Million,R,,,,
29th May 1999,5,35,36,43,45,19,0,$33.9 Million,R,,,,
26th May 1999,26,29,34,36,37,24,0,$28.7 Million,R,,,,
22nd May 1999,6,15,18,36,43,11,0,$24.5 Million,R,,,,
19th May 1999,4,9,24,35,41,31,0,$20 Million,R,,,,
15th May 1999,4,24,27,30,38,14,0,$17 Million,R,,,,
12th May 1999,4,5,12,38,40,28,0,$14 Million,R,,,,
8th May 1999,25,28,30,34,47,14,0,$12 Million,R,,,,
5th May 1999,7,9,26,31,40,24,0,$10 Million,R,,,,
1st May 1999,7,9,20,26,27,18,0,$46.9 Million,1,MO,,,
28th April 1999,5,7,12,18,42,14,0,$40.8 Million,R,,,,
24th April 1999,1,3,35,45,48,18,0,$35.5 Million,R,,,,
21st April 1999,3,11,32,41,45,29,0,$30 Million,R,,,,
17th April 1999,15,18,25,40,43,37,0,$25.5 Million,R,,,,
14th April 1999,10,12,19,25,40,33,0,$20.3 Million,R,,,,
10th April 1999,3,24,34,42,45,1,0,$17 Million,R,,,,
7th April 1999,5,26,31,37,39,42,0,$14 Million,R,,,,
3rd April 1999,1,4,10,17,30,6,0,$12 Million,R,,,,
31st March 1999,3,15,16,28,39,1,0,$10 Million,R,,,,
27th March 1999,5,12,13,45,48,35,0,$70.2 Million,2,MT,WI,,
24th March 1999,7,19,20,26,27,12,0,$59.5 Million,R,,,,
20th March 1999,4,20,22,40,41,7,0,$51.6 Million,R,,,,
17th March 1999,9,15,31,37,40,9,0,$44.7 Million,R,,,,
13th March 1999,8,11,42,44,49,39,0,$39.2 Million,R,,,,
10th March 1999,1,14,26,34,49,15,0,$33.6 Million,R,,,,
6th March 1999,13,19,20,25,42,13,0,$29 Million,R,,,,
3rd March 1999,1,8,12,42,44,13,0,$24.1 Million,R,,,,
27th February 1999,13,20,30,32,46,36,0,$20 Million,R,,,,
24th February 1999,8,15,29,40,46,23,0,$16 Million,R,,,,
20th February 1999,6,15,16,24,39,12,0,$14 Million,R,,,,
17th February 1999,10,21,22,25,36,39,0,$12 Million,R,,,,
13th February 1999,4,9,18,27,35,11,0,$10 Million,R,,,,
10th February 1999,10,20,27,31,42,26,0,$28.4 Million,1,IA,,,
